satellite_id,name,country_operator,orbit_class,orbit_type,perigee_km,apogee_km,altitude_mean_km,eccentricity,inclination_deg,period_min,launch_mass_kg,launch_date,expected_lifetime_yrs,launch_site,launch_vehicle,norad_number,cospar_number,orbit_shell,launch_year
1,Starlink-1007,USA,LEO,Non-Polar Inclined,559.0,561.0,560.0,0.0001443001443001,53.0,95.9,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44713.0,2019-074A,Shell-1 (400–600 km),2019
2,Starlink-1008,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44714.0,2019-074B,Shell-1 (400–600 km),2019
3,Starlink-1009,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.5,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44715.0,2019-074C,Shell-1 (400–600 km),2019
4,Starlink-1010,USA,LEO,Non-Polar Inclined,533.0,535.0,534.0,0.0001448435689455,53.0,95.3,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44716.0,2019-074D,Shell-1 (400–600 km),2019
5,Starlink-1011,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44717.0,2019-074E,Shell-1 (400–600 km),2019
6,Starlink-1012,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44718.0,2019-074F,Shell-1 (400–600 km),2019
7,Starlink-1013,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44719.0,2019-074G,Shell-1 (400–600 km),2019
8,Starlink-1014,USA,LEO,Non-Polar Inclined,496.0,506.0,501.0,0.0007276961141027,53.0,94.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44720.0,2019-074H,Shell-1 (400–600 km),2019
9,Starlink-1015,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44721.0,2019-074J,Shell-1 (400–600 km),2019
10,Starlink-1016,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44722.0,2019-074K,Shell-1 (400–600 km),2019
11,Starlink-1017,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44723.0,2019-074L,Shell-1 (400–600 km),2019
12,Starlink-1019,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44724.0,2019-074M,Shell-1 (400–600 km),2019
13,Starlink-1020,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44725.0,2019-074N,Shell-1 (400–600 km),2019
14,Starlink-1021,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44726.0,2019-074P,Shell-1 (400–600 km),2019
15,Starlink-1022,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44727.0,2019-074Q,Shell-1 (400–600 km),2019
16,Starlink-1023,USA,LEO,Non-Polar Inclined,559.0,561.0,560.0,0.0001443001443001,53.0,95.8,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44728.0,2019-074R,Shell-1 (400–600 km),2019
17,Starlink-1024,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44729.0,2019-074S,Shell-1 (400–600 km),2019
18,Starlink-1025,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44730.0,2019-074T,Shell-1 (400–600 km),2019
19,Starlink-1026,USA,LEO,Non-Polar Inclined,549.0,550.0,549.5,7.225955632632416e-05,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44731.0,2019-074U,Shell-1 (400–600 km),2019
20,Starlink-1027,USA,LEO,Non-Polar Inclined,569.0,571.0,570.0,0.0001440922190201,53.0,96.0,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44732.0,2019-074V,Shell-1 (400–600 km),2019
21,Starlink-1028,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44733.0,2019-074W,Shell-1 (400–600 km),2019
22,Starlink-1029,USA,LEO,Non-Polar Inclined,383.0,390.0,386.5,0.000518019684748,53.0,92.3,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44734.0,2019-074X,VLEO (<400 km),2019
23,Starlink-1030,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44735.0,2019-074Y,Shell-1 (400–600 km),2019
24,Starlink-1031,USA,LEO,Non-Polar Inclined,554.0,556.0,555.0,0.0001444043321299,53.0,95.7,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44736.0,2019-074Z,Shell-1 (400–600 km),2019
25,Starlink-1032,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44737.0,2019-074AA,Shell-1 (400–600 km),2019
26,Starlink-1033,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44738.0,2019-074AB,Shell-1 (400–600 km),2019
27,Starlink-1034,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44757.0,2019-074AW,Shell-1 (400–600 km),2019
28,Starlink-1035,USA,LEO,Non-Polar Inclined,569.0,571.0,570.0,0.0001440922190201,53.0,96.0,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44740.0,2019-074AD,Shell-1 (400–600 km),2019
29,Starlink-1036,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44741.0,2019-074AE,Shell-1 (400–600 km),2019
30,Starlink-1037,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44742.0,2019-074AF,Shell-1 (400–600 km),2019
31,Starlink-1038,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44743.0,2019-074AG,Shell-1 (400–600 km),2019
32,Starlink-1039,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44744.0,2019-074AH,Shell-1 (400–600 km),2019
33,Starlink-1041,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44746.0,2019-074AK,Shell-1 (400–600 km),2019
34,Starlink-1042,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44747.0,2019-074AL,Shell-1 (400–600 km),2019
35,Starlink-1043,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44748.0,2019-074AM,Shell-1 (400–600 km),2019
36,Starlink-1044,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44749.0,2019-074AN,Shell-1 (400–600 km),2019
37,Starlink-1045,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44750.0,2019-074AP,Shell-1 (400–600 km),2019
38,Starlink-1046,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44751.0,2019-074AQ,Shell-1 (400–600 km),2019
39,Starlink-1047,USA,LEO,Non-Polar Inclined,553.0,556.0,554.5,0.0002166221387825,53.0,95.7,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44752.0,2019-074AR,Shell-1 (400–600 km),2019
40,Starlink-1048,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44753.0,2019-074AS,Shell-1 (400–600 km),2019
41,Starlink-1049,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44754.0,2019-074AT,Shell-1 (400–600 km),2019
42,Starlink-1050,USA,LEO,Non-Polar Inclined,548.0,551.0,549.5,0.0002167786689789,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44755.0,2019-074AU,Shell-1 (400–600 km),2019
43,Starlink-1051,USA,LEO,Non-Polar Inclined,549.0,551.0,550.0,0.0001445086705202,53.0,95.6,227.0,2019-11-11,,Cape Canaveral,Falcon 9,44756.0,2019-074AV,Shell-1 (400–600 km),2019
